13722KRDU RDU20260801095013308/01/26 09:50:31  5-MIN KRDU 011450Z 21011KT 10SM SCT035 SCT080 BKN250 29/21 A2997 400 60 2200 220/11 RMK AO2 SLP141 T02940211 51008
13722KRDU RDU20260801095512608/01/26 09:55:31  5-MIN KRDU 011455Z 20012G18KT 10SM SCT035 SCT080 BKN250 30/20 A2997 390 54 2200 210/12G18 RMK AO2 T03000200
13722KRDU RDU20260801100012008/01/26 10:00:31  5-MIN KRDU 011500Z 21013KT 10SM SCT035 SCT080 BKN250 30/20 A2997 390 54 2200 220/13 RMK AO2 T03000200
13722KRDU RDU20260801100512608/01/26 10:05:31  5-MIN KRDU 011505Z 20013G18KT 10SM SCT035 SCT080 BKN250 30/21 A2997 390 56 2200 210/13G18 RMK AO2 T03000206
13722KRDU RDU20260801101012608/01/26 10:10:31  5-MIN KRDU 011510Z 19012G18KT 10SM SCT035 SCT080 BKN250 30/21 A2997 390 56 2200 200/12G18 RMK AO2 T03000206
13722KRDU RDU20260801101512008/01/26 10:15:31  5-MIN KRDU 011515Z 19011KT 10SM SCT035 SCT080 BKN250 30/21 A2997 390 56 2200 200/11 RMK AO2 T03000206
13722KRDU RDU20260801102012008/01/26 10:20:31  5-MIN KRDU 011520Z 19013KT 10SM SCT035 SCT080 BKN250 29/20 A2997 390 56 2200 200/13 RMK AO2 T02940200
13722KRDU RDU20260801102512008/01/26 10:25:31  5-MIN KRDU 011525Z 18010KT 10SM SCT035 SCT080 BKN250 29/20 A2997 390 56 2200 190/10 RMK AO2 T02940200
13722KRDU RDU20260801103012008/01/26 10:30:31  5-MIN KRDU 011530Z 19009KT 10SM SCT035 SCT080 BKN250 30/21 A2996 400 56 2200 200/09 RMK AO2 T03000206
13722KRDU RDU20260801103512008/01/26 10:35:31  5-MIN KRDU 011535Z 19009KT 10SM SCT035 SCT080 BKN250 30/21 A2996 400 56 2200 200/09 RMK AO2 T03000206
13722KRDU RDU20260801104012608/01/26 10:40:31  5-MIN KRDU 011540Z 19014G19KT 10SM SCT035 SCT080 BKN250 30/20 A2996 400 54 2200 200/14G19 RMK AO2 T03000200
13722KRDU RDU20260801104513308/01/26 10:45:31  5-MIN KRDU 011545Z 19011G19KT 10SM SCT035 SCT080 BKN250 30/19 A2996 400 52 2200 200/11G19 RMK AO2 SLP140 T03000194
13722KRDU RDU20260801105012708/01/26 10:50:31  5-MIN KRDU 011550Z 21014KT 10SM FEW037 SCT044 BKN250 30/19 A2996 400 52 2200 220/14 RMK AO2 SLP140 T03000194
13722KRDU RDU20260801105512008/01/26 10:55:31  5-MIN KRDU 011555Z 21010KT 10SM FEW037 SCT044 BKN250 30/20 A2996 400 54 2300 220/10 RMK AO2 T03000200
13722KRDU RDU20260801110012608/01/26 11:00:31  5-MIN KRDU 011600Z 18011G17KT 10SM FEW037 SCT044 BKN250 30/20 A2996 400 54 2300 190/11G17 RMK AO2 T03000200
13722KRDU RDU20260801110512608/01/26 11:05:31  5-MIN KRDU 011605Z 18010G17KT 10SM FEW037 SCT044 BKN250 30/20 A2996 400 54 2300 190/10G17 RMK AO2 T03000200
13722KRDU RDU20260801111012008/01/26 11:10:31  5-MIN KRDU 011610Z 18011KT 10SM FEW037 SCT044 BKN250 30/20 A2996 400 54 2300 190/11 RMK AO2 T03000200
13722KRDU RDU20260801111512008/01/26 11:15:31  5-MIN KRDU 011615Z 19008KT 10SM FEW037 SCT044 BKN250 30/20 A2996 400 54 2300 200/08 RMK AO2 T03000200
13722KRDU RDU20260801112012008/01/26 11:20:31  5-MIN KRDU 011620Z 17010KT 10SM FEW037 SCT044 BKN250 31/20 A2996 400 52 2300 180/10 RMK AO2 T03060200
13722KRDU RDU20260801112512008/01/26 11:25:31  5-MIN KRDU 011625Z 18011KT 10SM FEW037 SCT044 BKN250 31/19 A2996 400 51 2300 190/11 RMK AO2 T03060194
13722KRDU RDU20260801113012608/01/26 11:30:31  5-MIN KRDU 011630Z 18008G19KT 10SM FEW037 SCT044 BKN250 30/19 A2996 410 52 2300 190/08G19 RMK AO2 T03000194
13722KRDU RDU20260801113512608/01/26 11:35:31  5-MIN KRDU 011635Z 19009G19KT 10SM FEW037 SCT044 BKN250 30/19 A2995 410 52 2300 200/09G19 RMK AO2 T03000194
13722KRDU RDU20260801114012608/01/26 11:40:31  5-MIN KRDU 011640Z 17010G19KT 10SM FEW037 SCT044 BKN250 31/19 A2995 410 51 2300 180/10G19 RMK AO2 T03060194
13722KRDU RDU20260801114512708/01/26 11:45:31  5-MIN KRDU 011645Z 18009KT 10SM FEW037 SCT044 BKN250 30/19 A2995 410 51 2300 190/09 RMK AO2 SLP137 T03000189
13722KRDU RDU20260801115012908/01/26 11:50:31  5-MIN KRDU 011650Z 20010KT 10SM FEW037TCU OVC250 30/19 A2995 410 52 2300 200/10 RMK AO2 SLP136 TCU W T03000194
13722KRDU RDU20260801115512808/01/26 11:55:31  5-MIN KRDU 011655Z 15009G16KT 10SM FEW037TCU OVC250 30/19 A2995 410 52 2300 160/09G16 RMK AO2 TCU W T03000194
13722KRDU RDU20260801120012808/01/26 12:00:31  5-MIN KRDU 011700Z 16007G16KT 10SM FEW037TCU OVC250 30/19 A2995 410 52 2300 170/07G16 RMK AO2 TCU W T03000194
13722KRDU RDU20260801120512808/01/26 12:05:31  5-MIN KRDU 011705Z 16011G19KT 10SM FEW037TCU OVC250 30/19 A2995 410 52 2300 170/11G19 RMK AO2 TCU W T03000194
13722KRDU RDU20260801121011908/01/26 12:10:31  5-MIN KRDU 011710Z 14010G19KT 10SM FEW037 OVC250 31/20 A2994 410 52 2300 140/10G19 RMK AO2 T03060200
13722KRDU RDU20260801121511908/01/26 12:15:31  5-MIN KRDU 011715Z 15008G15KT 10SM FEW037 OVC250 31/20 A2994 420 52 2300 160/08G15 RMK AO2 T03060200
13722KRDU RDU20260801122011908/01/26 12:20:31  5-MIN KRDU 011720Z 16009G17KT 10SM FEW037 OVC250 31/19 A2994 420 51 2300 170/09G17 RMK AO2 T03060194
13722KRDU RDU20260801122511308/01/26 12:25:31  5-MIN KRDU 011725Z 16009KT 10SM FEW037 OVC250 31/20 A2994 420 52 2300 170/09 RMK AO2 T03060200
13722KRDU RDU20260801123011308/01/26 12:30:31  5-MIN KRDU 011730Z 14009KT 10SM FEW037 OVC250 31/20 A2994 420 52 2300 150/09 RMK AO2 T03060200
13722KRDU RDU20260801123511308/01/26 12:35:31  5-MIN KRDU 011735Z 14010KT 10SM FEW037 OVC250 31/20 A2994 420 52 2300 150/10 RMK AO2 T03060200
13722KRDU RDU20260801124011308/01/26 12:40:31  5-MIN KRDU 011740Z 16011KT 10SM FEW037 OVC250 31/19 A2994 420 51 2300 170/11 RMK AO2 T03060194
13722KRDU RDU20260801124513808/01/26 12:45:31  5-MIN KRDU 011745Z 16009KT 10SM FEW037 OVC250 31/19 A2994 420 51 2300 170/09 RMK AO2 SLP132 T03060194 10306 20239 58005
13722KRDU RDU20260801125014508/01/26 12:50:31  5-MIN KRDU 011750Z 18008KT 10SM FEW042 BKN190 OVC250 31/19 A2994 420 51 2300 190/08 RMK AO2 SLP132 T03060194 10306 20239 58005
13722KRDU RDU20260801125512008/01/26 12:55:31  5-MIN KRDU 011755Z 16008KT 10SM FEW042 BKN190 OVC250 31/20 A2994 420 52 2300 170/08 RMK AO2 T03060200
13722KRDU RDU20260801130012008/01/26 13:00:31  5-MIN KRDU 011800Z 16009KT 10SM FEW042 BKN190 OVC250 31/20 A2994 420 52 2300 170/09 RMK AO2 T03060200
13722KRDU RDU20260801130512008/01/26 13:05:31  5-MIN KRDU 011805Z 15009KT 10SM FEW042 BKN190 OVC250 31/19 A2993 420 51 2300 160/09 RMK AO2 T03060194
13722KRDU RDU20260801131012608/01/26 13:10:31  5-MIN KRDU 011810Z 15008G16KT 10SM FEW042 BKN190 OVC250 31/19 A2993 430 51 2300 160/08G16 RMK AO2 T03060194
13722KRDU RDU20260801131512608/01/26 13:15:31  5-MIN KRDU 011815Z 16008G16KT 10SM FEW042 BKN190 OVC250 31/19 A2993 430 51 2300 170/08G16 RMK AO2 T03060194
13722KRDU RDU20260801132012008/01/26 13:20:31  5-MIN KRDU 011820Z 15010KT 10SM FEW042 BKN190 OVC250 31/20 A2993 430 52 2300 160/10 RMK AO2 T03060200
13722KRDU RDU20260801132512008/01/26 13:25:31  5-MIN KRDU 011825Z 16011KT 10SM FEW042 BKN190 OVC250 31/20 A2993 430 52 2300 170/11 RMK AO2 T03060200
13722KRDU RDU20260801133012008/01/26 13:30:31  5-MIN KRDU 011830Z 16008KT 10SM FEW042 BKN190 OVC250 31/19 A2993 430 51 2300 170/08 RMK AO2 T03060194
13722KRDU RDU20260801133512008/01/26 13:35:31  5-MIN KRDU 011835Z 16007KT 10SM FEW042 BKN190 OVC250 31/20 A2993 430 52 2300 170/07 RMK AO2 T03060200
13722KRDU RDU20260801134012608/01/26 13:40:31  5-MIN KRDU 011840Z 17011G15KT 10SM FEW042 BKN190 OVC250 31/19 A2993 430 51 2400 180/11G15 RMK AO2 T03060194
13722KRDU RDU20260801134513308/01/26 13:45:31  5-MIN KRDU 011845Z 16010G16KT 10SM FEW042 BKN190 OVC250 31/19 A2992 430 51 2400 170/10G16 RMK AO2 SLP127 T03060194
13722KRDU RDU20260801135012708/01/26 13:50:31  5-MIN KRDU 011850Z 16010KT 10SM FEW042 BKN180 OVC230 31/19 A2992 440 51 2400 170/10 RMK AO2 SLP126 T03060194
13722KRDU RDU20260801135512008/01/26 13:55:31  5-MIN KRDU 011855Z 17007KT 10SM FEW042 BKN180 OVC230 31/19 A2992 440 51 2400 180/07 RMK AO2 T03060194
13722KRDU RDU20260801140012008/01/26 14:00:31  5-MIN KRDU 011900Z 16007KT 10SM FEW042 BKN180 OVC230 31/20 A2992 440 52 2400 170/07 RMK AO2 T03060200
13722KRDU RDU20260801140512008/01/26 14:05:31  5-MIN KRDU 011905Z 15008KT 10SM FEW042 BKN180 OVC230 31/19 A2992 440 51 2400 160/08 RMK AO2 T03060194
13722KRDU RDU20260801141012008/01/26 14:10:31  5-MIN KRDU 011910Z 15007KT 10SM FEW042 BKN180 OVC230 31/20 A2991 440 52 2400 160/07 RMK AO2 T03060200
13722KRDU RDU20260801141512008/01/26 14:15:31  5-MIN KRDU 011915Z 15009KT 10SM FEW042 BKN180 OVC230 31/20 A2991 450 52 2400 160/09 RMK AO2 T03060200
13722KRDU RDU20260801142012008/01/26 14:20:31  5-MIN KRDU 011920Z 15009KT 10SM FEW042 BKN180 OVC230 31/19 A2991 450 51 2400 160/09 RMK AO2 T03060194
13722KRDU RDU20260801142512008/01/26 14:25:31  5-MIN KRDU 011925Z 16007KT 10SM FEW042 BKN180 OVC230 31/19 A2991 450 51 2400 170/07 RMK AO2 T03060194
13722KRDU RDU20260801143012008/01/26 14:30:31  5-MIN KRDU 011930Z 15008KT 10SM FEW042 BKN180 OVC230 31/20 A2990 450 52 2400 160/08 RMK AO2 T03060200
13722KRDU RDU20260801143512008/01/26 14:35:31  5-MIN KRDU 011935Z 13008KT 10SM FEW042 BKN180 OVC230 31/20 A2990 460 52 2400 140/08 RMK AO2 T03060200
13722KRDU RDU20260801144013608/01/26 14:40:31  5-MIN KRDU 011940Z 12008KT 090V190 10SM FEW042 BKN180 OVC230 31/21 A2989 460 54 2400 130/08 100V200 RMK AO2 T03060206
